command,engine,tag,query_stat,num_queries,avg_us,p50_us,p90_us,p99_us,max_us
TOP_100,lucene-10.3.0,ALL,median,20,3024,2067,5853,11258,11258
TOP_100,lucene-10.3.0,global,median,18,2260,1726,4582,5853,5853
TOP_100,lucene-10.3.0,union,median,20,3024,2067,5853,11258,11258
TOP_100,lucene-10.3.0,union:num_tokens_>3,median,20,3024,2067,5853,11258,11258
TOP_100,tantivy-0.25,ALL,median,20,13383,5337,21401,77424,77424
TOP_100,tantivy-0.25,global,median,18,7354,5201,14682,21401,21401
TOP_100,tantivy-0.25,union,median,20,13383,5337,21401,77424,77424
TOP_100,tantivy-0.25,union:num_tokens_>3,median,20,13383,5337,21401,77424,77424
TOP_100,pylance,ALL,median,20,33815,23222,59416,192368,192368
TOP_100,pylance,global,median,18,26684,23222,53508,69178,69178
TOP_100,pylance,union,median,20,33815,23222,59416,192368,192368
TOP_100,pylance,union:num_tokens_>3,median,20,33815,23222,59416,192368,192368
TOP_100,lancedb,ALL,median,20,214509,191639,372027,694320,694320
TOP_100,lancedb,global,median,18,199454,191639,309411,509330,509330
TOP_100,lancedb,union,median,20,214509,191639,372027,694320,694320
TOP_100,lancedb,union:num_tokens_>3,median,20,214509,191639,372027,694320,694320
